mor_id,Country,ISO3,Death_Rate_Ranking,Total_Pollution_Deaths,Air_Pollution_Deaths,Water_Pollution_Deaths,Occupational_Pollution_Deaths,Lead_Deaths
M51,Ecuador,ECU,176,5759,3851,482,574,852
M52,Egypt,EGY,66,90320,60543,5459,2232,22086
M53,El Salvador,SLV,113,4426,2654,376,171,1225
M54,Equatorial Guinea,GNQ,152,618,335,235,15,34
M55,Eritrea,ERI,36,7684,3144,4156,143,242
M56,Estonia,EST,154,618,452,3,97,65
M57,Ethiopia,ETH,46,110787,40614,63454,1931,4788
M58,Fiji,FJI,79,787,669,72,25,21
M59,Finland,FIN,166,2251,1127,7,1003,113
M60,France,FRA,127,41968,18992,241,16540,6195
M61,Gabon,GAB,141,1167,674,412,36,46
M62,Gambia,GMB,43,2271,1281,773,43,173
M63,Georgia,GEO,19,5234,4208,28,453,545
M64,Germany,DEU,83,68300,41839,446,21368,4648
M65,Ghana,GHA,67,26531,15080,9594,684,1173
M66,Greece,GRC,55,10665,6944,28,1781,1912
M67,Grenada,GRD,41,117,81,6,5,25
M68,Guatemala,GTM,99,12827,7185,3200,287,2155
M69,Guinea,GIN,17,19023,10514,6905,329,1274
M70,Guinea-Bissau,GNB,16,2849,1181,1460,41,167
M71,Guyana,GUY,102,582,361,65,18,139
M72,Haiti,HTI,20,15079,7854,4331,376,2517
M73,Honduras,HND,128,5714,2921,1044,278,1471
M74,Hungary,HUN,48,10240,7771,89,1357,1023
M75,Iceland,ISL,173,126,59,1,53,13
M76,India,IND,10,2326771,1240529,698597,153528,234117
M77,Indonesia,IDN,75,232974,123753,60040,16331,32850
M78,Iran,IRN,125,50778,29098,779,3659,17241
M79,Iraq,IRQ,178,12678,9427,578,389,2284
M80,Ireland,IRL,165,1995,1111,11,623,249
M81,Israel,ISR,168,3431,2597,41,516,278
M82,Italy,ITA,64,57033,29368,170,17445,10051
M83,Jamaica,JAM,121,1877,1232,67,159,419
M84,Japan,JPN,122,82046,49554,1899,25448,5146
M85,Jordan,JOR,182,2797,1949,65,148,635
M86,Kazakhstan,KAZ,134,10869,7996,133,1288,1451
M87,Kenya,KEN,71,45001,18891,23454,1164,1493
M88,Kiribati,KIR,31,144,102,32,2,7
M89,Kuwait,KWT,185,993,832,17,39,106
M90,Kyrgyzstan,KGZ,129,3792,2813,137,244,599
M91,Laos,LAO,37,7817,5010,1730,369,708
M92,Latvia,LVA,70,1759,1458,7,148,147
M93,Lebanon,LBN,136,3643,2762,81,202,599
M94,Lesotho,LSO,14,3599,1722,1428,182,266
M95,Liberia,LBR,35,5501,2329,2786,64,322
M96,Libya,LBY,130,3887,3061,82,261,482
M97,Lithuania,LTU,81,2449,2054,14,198,183
M98,Luxembourg,LUX,151,295,168,2,102,23
M99,Macedonia,MKD,59,2005,1663,4,90,248
M100,Madagascar,MDG,5,46876,18722,25628,907,1620
M101,Malawi,MWI,56,18429,8772,8242,384,1031
M102,Malaysia,MYS,153,15276,11352,678,1375,1871
M103,Maldives,MDV,186,95,56,4,15,20
M104,Mali,MLI,13,30135,11522,16584,487,1543
M105,Malta,MLT,76,413,217,1,97,97
M106,Marshall Islands,MHL,114,36,28,2,3,3
M107,Mauritania,MRT,87,3575,1658,1662,63,191
M108,Mauritius,MUS,107,919,755,10,61,93
M109,Mexico,MEX,145,72276,48071,3234,6084,14887
M110,Micronesia,FSM,118,71,57,3,6,5
M111,Mongolia,MNG,116,2078,1664,62,79,273
M112,Montenegro,MNE,73,556,470,1,38,47
M113,Morocco,MAR,91,28313,19696,1088,1185,6345
M114,Mozambique,MOZ,52,29817,14473,12394,571,2379
M115,Myanmar,MMR,32,65790,45383,9188,6762,4457
M116,Namibia,NAM,82,2123,1029,854,108,131
M117,Nepal,NPL,15,46149,25689,10792,3407,6261
M118,Netherlands,NLD,96,13156,6714,57,5646,739
M119,New Zealand,NZL,172,1805,697,24,825,259
M120,Nicaragua,NIC,170,2382,1509,200,116,558
M121,Niger,NER,4,41284,15428,24116,314,1426
M122,Nigeria,NGA,18,279318,114115,159777,2088,3338
M123,North Korea,PRK,3,51391,38768,404,7804,4415
M124,Norway,NOR,161,2253,1153,31,843,226
M125,Oman,OMN,184,1116,902,25,36,153
M126,Pakistan,PAK,38,223836,128005,60213,8787,26831
M127,Palestine,PSE,180,1540,1124,54,51,311
M128,Panama,PAN,175,1460,853,165,110,332
M129,Papua New Guinea,PNG,6,15072,10164,3499,1103,306
M130,Paraguay,PRY,158,3075,2113,200,254,509
M131,Peru,PER,162,13472,9573,1731,1023,1146
M132,Philippines,PHL,84,86650,64386,9029,5067,8168
M133,Poland,POL,68,34905,24629,149,6131,3995
M134,Portugal,PRT,104,7639,4329,82,1394,1834
M135,Qatar,QAT,188,397,345,4,26,22
M136,Republic of Korea,KOR,157,23506,17343,338,3737,2087
M137,Republic  of Moldova,MDA,57,3492,2787,35,130,540
M138,Romania,ROU,45,20755,15126,123,2022,3483
M139,Russian Federation,RUS,86,118687,99392,685,9634,8976
M140,Rwanda,RWA,69,11075,5524,4747,356,449
M141,Saint Lucia,LCA,120,117,80,5,8,23
M142,Saint Vincent and the Grenadines,VCT,60,106,66,6,4,29
M143,Samoa,WSM,143,111,95,4,6,5
M144,Sao Tome and Principe,STP,100,154,105,29,8,12
M145,Saudi Arabia ,SAU,177,11033,8732,219,290,1793
M146,Senegal,SEN,44,16801,7875,7830,339,757
M147,Serbia,SRB,9,12317,9902,37,1012,1366
M148,Seychelles,SYC,139,56,41,4,5,6
M149,Sierra Leone,SLE,12,12573,6102,5658,165,647
M150,Singapore,SGP,179,1853,1318,33,281,221
M151,Slovakia,SVK,110,3901,3145,15,342,400
M152,Slovenia,SVN,115,1397,915,5,373,104
M153,Solomon Islands,SLB,39,679,557,62,21,39
M154,Somalia,SOM,8,26431,12357,12177,409,1487
M155,South Africa,ZAF,93,44274,23547,14829,3471,2427
M156,South Sudan,SSD,7,22617,9074,12780,222,540
M157,Spain,ESP,119,30923,17133,151,8163,5476
M158,Sri Lanka,LKA,149,11016,8407,758,981,870
M159,Sudan,SDN,78,35365,18079,9030,620,7636
M160,Suriname,SUR,105,415,269,44,19,83
M161,Swaziland,SWZ,53,1286,567,588,63,68
M162,Sweden,SWE,164,4194,2257,63,1528,347
M163,Switzerland,CHE,148,4386,2313,24,1529,520
M164,Syrian Arab Republic,SYR,138,10793,7611,94,358,2729
M165,Taiwan,TWN,111,16878,12722,192,2287,1677
M166,Tajikistan,TJK,65,8398,5318,1783,143,1156
M167,Tanzania,TZA,80,49773,27055,19604,1035,2079
M168,Thailand,THA,124,43538,30625,5379,5406,2127
M169,Timor-Leste,TLS,77,1137,751,186,69,131
M170,Togo,TGO,51,8013,3801,3638,154,420
M171,Tonga,TON,135,65,53,3,6,2
M172,Trinidad and Tobago,TTO,94,1063,906,35,47,75
M173,Tunisia,TUN,106,8434,5757,147,496,2034
M174,Turkey,TUR,112,57779,39985,731,11889,5175
M175,Turkmenistan,TKM,147,2992,2413,95,86,398
M176,Uganda,UGA,117,28837,13599,13542,608,1088
M177,Ukraine,UKR,24,57258,50130,249,3071,3808
M178,United Arab Emirates,ARE,183,2509,2072,46,238,153
M179,United Kingdom,GBR,98,50193,24794,297,21956,3146
M180,United States of America,USA,132,196930,107507,1628,59536,28260
M181,Uruguay,URY,133,2086,1194,80,442,370
M182,Uzbekistan,UZB,101,24274,19856,443,580,3394
M183,Vanuatu,VUT,40,302,223,41,22,16
M184,Venezuela,VEN,155,14871,9197,983,1134,3557
M185,Vietnam,VNM,103,71365,50232,3097,9809,8227
M186,Yemen,YEM,50,29038,12379,8087,550,8022
M187,Zambia,ZMB,58,16600,7106,8691,310,492
M188,Zimbabwe,ZWE,54,16518,9021,6079,457,961
