"Annual mean PM10 (Particulate matter with diameter of 10 ?m or less), by country",,,,,,,,,,,,,,,,,,,
Region,Country,Annual mean PM10,Year,Number and location,Temporal coverage,Reference,Urban population coverage,Reported or calculated mean,"Distribution of urban population into pollution levels (in %)
(based on city means)
ug/m3",,,,,,,,,,
,,ug/m3,, of stations,(%),,(%),,<20,20-30,30-50,50-70,70-90,90-110,110-130,130-170,170-210,Total,
EurHI,Czech Republic,29,2008,"13 urban background, 9 suburban background, 15 urban traffic, and 0 traffic suburban stations",97,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",35%,Calculated,0%,70%,30%,0%,0%,0%,0%,0%,0%,100%,
WprHI,Singapore,29,2009,"11 stations in urban background, industrial, commercial, suburban and roadside locations distributed all over Singapore",NA,"National Environment Agency, Singapore Government. Environmental Monitoring Annual Report:  http://app2.nea.gov.sg/data/cmsresource/20101207942151207090.pdf",100%,Reported,0%,100%,0%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Spain,29,2008,"17 urban background, 13 suburban background, 23 urban traffic, and 2 traffic suburban stations",94,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",27%,Calculated,2%,61%,36%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Slovenia,30,2008,"1 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",99,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",28%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurLMI,Russian Federation,33,2009,4 suburban and 2 urban stations,97,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",11%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurLMI,Poland,33,2008,"65 urban background, 0 suburban background, 9 urban traffic, and 0 traffic suburban stations",93,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",46%,Calculated,8%,39%,44%,9%,0%,0%,0%,0%,0%,100%,
EurHI,Croatia,33,2008,5 urban traffic stations in 3 cities,97,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",37%,Calculated,0%,16%,84%,0%,0%,0%,0%,0%,0%,100%,
AmrLMI,Ecuador,35,2009,9 stations in 2 cities,NA,"Informe de la Calidad del Aire del Distrito Metropolitano Quito 2009. Informe de la calidad del Aire Cuenca, 2009.",22%,Calculated,0%,0%,100%,0%,0%,0%,0%,0%,0%,100%,
EurHI,Malta,35,2007,2 stations in urban background and traffic locations in two localities,91,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",13%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurHI,Italy,37,2008,"30 urban background, 6 suburban background, 43 urban traffic, and 4 traffic suburban stations",92,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",28%,Calculated,0%,16%,84%,0%,0%,0%,0%,0%,0%,100%,
AmrLMI,Argentina,38,2010,"2 stations in Residential/commercial zone with fixed sources, and 1 station in mixed zone, medium to low traffic, with fixed sources.","6-10 months/year, according to the station",Buenos Aires Ciudad. Calidad Ambiental - Laboratorio. 2011.,35%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurLMI,Latvia,39,2008,"0 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",95,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",48%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrLMI,Uruguay,39,2009,3 stations in capital city,NA,"Intendencia Municipal de Montevideo, Desarollo Ambiental. Calidad del Aire de Montevideo Informe Annual 2009, Montevideo, 2010.",43%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrLMI,Brazil,40,2009,68 stations in 4 States,NA,Relatorio Annual da Qualidade do Ar do Estado do Rio de Janeiro; 2009 Qualidade do Ar No Estado de Sao Paulo. Monitoramento da Qualidade do Ar na Região Metropolitana de Belo Horizonte em 2009. Relatorio da qualidade do ar na regiao metropolitana de Curit,33%,Calculated,1%,29%,48%,22%,0%,0.0%,0%,0%,0%,100%,
AmrLMI,Panama,40,2009,Location,NA,"Informe sobre la calidad del aire en la cuidad de Panama 2009. Universidad de Panama, Panama, 2009.",29%,Calculated,0%,58%,0%,42%,0%,0%,0%,0%,0%,100%,
AmrLMI,Venezuela,41,2008,5 stations in 3 cities,NA,"INE, Estadisticas Ambientales, Concentración promedio anual de partículas totales suspendidas (PM10) en el aire, 2007-2008. http://www.ine.gov.ve/aspectosambientales/aspectosambientales/ambien_AireAtmosfera_2.htm (accessed 6 April 2011).",11%,Reported,0%,0%,86%,0%,14%,0%,0%,0%,0%,100%,
Sear,Thailand,41,2008,Annual average from 53 stations in 21 provinces of the country,NA,"Clean air Initiative for Asian Cities. 'Thailand country profile. CAI-Asia Center, June 2009; Data collected by: Thailand Pollution Control Department",60%,Reported,0%,6%,16%,78%,0%,0%,0%,0%,0%,100%,
Afr,Algeria,42,2006,2 stations in capital city,NA,"Samasafia. Rapport Annuel 2006. Ministère de l'Aménagement du Territoire, de l'Environnement et du Tourisme. Alger, 2006.",15%,Reported,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
WprLMI,Malaysia,42,2008,51 sampling stations,NA,"Air quality. Department of Environment, Malaysia.",42%,Reported,0%,3%,65%,32%,0%,0%,0%,0%,0%,100%,
EurLMI,Romania,42,2008,"9 urban background, 2 suburban background, 3 urban traffic, and 0 traffic suburban stations",82,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",35%,Calculated,8%,16%,60%,16%,0%,0%,0%,0%,0%,100%,
EurLMI,Serbia,43,2008,"1 urban background, 0 suburban background, 0 urban traffic, and 0 traffic suburban stations",92,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",22%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurHI,Greece,44,2008,11 urban traffic and suburban background stations in 5 cities,88,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",66%,Calculated,0%,0%,81%,19%,0%,0%,0%,0%,0%,100%,
WprLMI,Philippines,47,2007,3 stations in Metro Manila,NA,"Environmental Management Bureau. National Air Quality Status Report (2005-2007), 2009.",22%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrLMI,Jamaica,48,2008,1 station in residential area,NA,"The National Environment & Planning Agency. Annual Report, Financial Year 2008-2009. Kingston, 2009.",47%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrLMI,Guatemala,48,2008,"1 station in residential area, capital city",NA,"Universidad de San Carlos de Guatemala. Informe Annual, Monitoreao del Aire en la ciudad de Guatemala. Guatemala, 2009.",45%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Afr,South Africa,52,2009,9 stations in 2 cities (many other stations exist in the country but could not be accessed),NA,Ethekwini Health Department. Ethkwini air quality monitoring network report 2009; Joburg Air Quality Management and Climate Change. http://www.saaqis.org.za/Downloads.aspx?type=AQ.,21%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
AmrLMI,El Salvador,52,2007,4 stations in 2 cities,NA,"Perfil de proyecto - Ministerio de Medio Ambiente y Recursos Naturales, Direccion General de Inspectoria Ambiental",14%,Calculated,0%,0%,57%,43%,0%,0%,0%,0%,0%,100%,
EmrLMI,Lebanon,53,2004,7 stations in Beirut,"According to the station, ranging from 5 measurements per year to every 6 days","Saliba et al. Short and long-term transport of crustal and anthropogenic inorganic components of coarse and fine aerosols over Beirut, Lebanon. In: Mellouki A, Ravishankara AR eds. Regional Climate Variability and its Impacts in The Mediterranean Area. Do",51%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
EurHI,Cyprus,53,2007,1 urban traffic station,99,"European Environment Agency. AirBase: public air quality database - Air pollution. Available from: http://www.eea.europa.eu/themes/air/airbase, accessed 2 May 2011.",100%,Calculated,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
Sear,Indonesia,55,2008,10 stations in 4 major cities,NA,"Indonesia Country Profile: Focus on smaller cities, Clean Air Initiative for Asian Cities Center, 2009",19%,Calculated,4%,0%,54%,30%,0%,0%,12%,0%,0%,100%,
